id,name,state,country
3928,Mairiporã,SP,BR  
8950,Santana da Vargem,MG,BR  
9012,São Sebastião da Vargem Alegre,MG,BR  
3553,Vargem,SP,BR  
4484,Vargem,SC,BR  
9066,Vargem Alegre,MG,BR  
4717,Vargem Alegre,RJ,BR  
8278,Vargem Alta,ES,BR  
4483,Vargem Bonita,SC,BR  
9067,Vargem Bonita,MG,BR  
6026,Vargem Grande,RJ,BR  
8524,Vargem Grande,MA,BR  
9068,Vargem Grande do Rio Pardo,MG,BR  
3551,Vargem Grande do Sul,SP,BR  
3552,Vargem Grande Paulista,SP,BR  
3178,Cambuí,MG,BR  
8989,São Gonçalo do Sapucaí,MG,BR  
6895,Carmo da Cachoeira,MG,BR  
8966,Santo Antônio do Amparo,MG,BR  
8588,Carmópolis de Minas,MG,BR  
8762,Itatiaiuçu,MG,BR  
6363,Casimiro de Abreu,RJ,BR  
6356,Campos dos Goytacazes,RJ,BR  
5955,Rio Bonito,RJ,BR  
6477,Rio Bonito do Iguaçu,PR,BR  
5980,São Gonçalo,RJ,BR  
7439,São Gonçalo,PB,BR  
8985,São Gonçalo do Abaeté,MG,BR  
5938,São Gonçalo do Amarante,RN,BR  
8149,São Gonçalo do Amarante,CE,BR  
6886,São Gonçalo do Gurguéia,PI,BR  
8986,São Gonçalo do Pará,MG,BR  
6925,São Gonçalo do Piauí,PI,BR  
8987,São Gonçalo do Rio Abaixo,MG,BR  
4437,São Gonçalo do Rio das Pedras,MG,BR  
8988,São Gonçalo do Rio Preto,MG,BR  
8989,São Gonçalo do Sapucaí,MG,BR  
3930,São Gonçalo dos Campos,BA,BR  
6551,São José dos Pinhais,PR,BR  
4923,Garuva,SC,BR  
5068,Araquari,SC,BR  
4778,Porto Belo,SC,BR  
4756,Palhoça,SC,BR  
4896,Correia Pinto,SC,BR  
6769,Fazenda Rio Grande,PR,BR  
3702,Monte Castelo,SP,BR  
5000,Monte Castelo,SC,BR  
6491,Santa Cruz de Monte Castelo,PR,BR  
3571,Aparecida do Rio Negro,TO,BR  
5504,Rio Negro,MS,BR  
6481,Rio Negro,PR,BR  
6226,Santa Isabel do Rio Negro,AM,BR  
4829,Santa Cecília,SC,BR  
7425,Santa Cecília,PB,BR  
6490,Santa Cecília do Pavão,PR,BR  
5134,Santa Cecília do Sul,RS,BR  
3695,São Lourenço da Serra,SP,BR  
3960,Miracatu,SP,BR  
3880,Juquiá,SP,BR  
4451,Cajati,SP,BR  
4365,Barra do Turvo,SP,BR  
6700,Campina Grande do Sul,PR,BR  
8292,Alexânia,GO,BR  
3156,Perdizes,MG,BR  
7654,Conceição das Alagoas,MG,BR  
3247,Goianápolis,GO,BR  
3181,Piracanjuba,GO,BR  
7537,Itumbiara,GO,BR  
4657,Águas da Prata,SP,BR  
8563,Cachoeira da Prata,MG,BR  
6371,Córrego da Prata,RJ,BR  
5682,Lagoa da Prata,MG,BR  
5288,Nova Prata,RS,BR  
6657,Nova Prata do Iguaçu,PR,BR  
7412,Prata,PB,BR  
3225,Prata,MG,BR  
6842,Prata do Piauí,PI,BR  
8977,São Domingos do Prata,MG,BR  
5043,Vista Alegre do Prata,RS,BR  
8699,Fronteira,MG,BR  
8698,Fronteira dos Vales,MG,BR  
7049,Fronteiras,PI,BR  
6927,São João da Fronteira,PI,BR  
3533,Três Fronteiras,SP,BR  
7657,Florestal,MG,BR  
5050,Abelardo Luz,SC,BR  
8821,Luz,MG,BR  
4985,Luzerna,SC,BR  
7538,Luziânia,GO,BR  
7079,Luzilândia,PI,BR  
3401,Luzinópolis,TO,BR  
3217,Mariluz,PR,BR  
3726,Nova Luzitânia,SP,BR  
3601,Queluz,SP,BR  
7374,Queluzito,MG,BR  
3192,Santaluz,BA,BR  
6852,Santa Luz,PI,BR  
6919,Santa Luzia,MG,BR  
8481,Santa Luzia,MA,BR  
7428,Santa Luzia,PB,BR  
7934,Santa Luzia,BA,BR  
